wdt_ID,Heat,Image,Pepper,Min SHU,Max SHU,Median SHU,JalRP,JalRP Times Hotter/Milder,Type,Origin,Use,Flavor,Link
1,Mild,https://www.pepperscale.com/wp-content/uploads/2015/04/Tasty-Colorbell-Pepper-4-Plants-GreenYellowPurpleRed-0.jpg,Bell Pepper,0,0,0,0.00,"-8,000 to -2,500",Annuum,Mexico,Culinary,"Bright, Sweet",https://www.pepperscale.com/bell-pepper
2,Mild,https://www.pepperscale.com/wp-content/uploads/2016/04/Gypsy-Pepper.jpeg,Gypsy Pepper,0,0,0,0.00,"-8,000 to -2,500",Annuum,USA,Culinary,"Sweet, Floral",https://www.pepperscale.com/gypsy-pepper
3,Mild,https://www.pepperscale.com/wp-content/uploads/2016/04/Purple-Beauty-Pepper_1.jpg,Purple Beauty Pepper,0,0,0,0.00,"-8,000 to -2,500",Annuum,South America,Culinary,Sweet,https://www.pepperscale.com/purple-beauty-pepper
4,Mild,https://www.pepperscale.com/wp-content/uploads/2015/10/melrose-pepper.jpg,Melrose Pepper,0,0,0,0.00,"-8,000 to -2,500",Annuum,USA,Culinary,Sweet,https://www.pepperscale.com/melrose-pepper
5,Mild,https://www.pepperscale.com/wp-content/uploads/2017/08/carmen-pepper.jpg,Carmen Pepper,0,0,0,0.00,"-8,000 to -2,500",Annuum,Italy,Culinary,Sweet,https://www.pepperscale.com/carmen-pepper
6,Mild,https://www.pepperscale.com/wp-content/uploads/2017/08/California-Wonder-Pepper.jpg,California Wonder Pepper,0,0,0,0.00,"-8,000 to -2,500",Annuum,USA,Culinary,"Bitter, Sweet",https://www.pepperscale.com/california-wonder-pepper
7,Mild,https://www.pepperscale.com/wp-content/uploads/2017/02/peperone-di-senise-e1486858956795.jpg,Peperone di Senise,0,0,0,0.00,"-8,000 to -2,500",Annuum,Italy,Culinary,"Sweet, Nutty, Smoky",https://www.pepperscale.com/peperone-di-senise
8,Mild,https://www.pepperscale.com/wp-content/uploads/2017/04/Tangerine-Dream-Pepper.jpg,Tangerine Dream Pepper,0,100,50,0.01,"-8,000 to -250",Annuum,USA,Ornamental,Sweet,https://www.pepperscale.com/tangerine-dream-pepper
9,Mild,https://www.pepperscale.com/wp-content/uploads/2017/03/chilly-chili.jpg,Chilly Chili,1,100,51,0.01,"-8,000 to -2",Annuum,USA,Ornamental,Neutral,https://www.pepperscale.com/chilly-chili
10,Mild,https://www.pepperscale.com/wp-content/uploads/2015/08/Shishito-pepper-substitute.jpg,Shishito Pepper,50,200,125,0.02,-160 to -13,Annuum,Japan,Culinary,"Sweet, Grassy, Citrusy, Smoky",https://www.pepperscale.com/shishito-pepper
11,Mild,https://www.pepperscale.com/wp-content/uploads/2017/01/Trinidad-Perfume.jpg,Trinidad Perfume,0,500,250,0.05,"-8,000 to -5",Chinense,Caribbean,Culinary,"Sweet, Fruity, Citrusy, Tropical",https://www.pepperscale.com/trinidad-perfume
12,Mild,https://www.pepperscale.com/wp-content/uploads/2019/03/banana-pepper-uses.jpg,Banana Pepper,0,500,250,0.05,"-8,000 to -5",Annuum,South America,Culinary,"Sweet, Tangy",https://www.pepperscale.com/banana-pepper
13,Mild,https://www.pepperscale.com/wp-content/uploads/2016/10/Pepperoncini-Planting.jpeg,Pepperoncini,100,500,300,0.06,-80 to -5,Annuum,Italy,Culinary,"Sweet, Tangy",https://www.pepperscale.com/pepperoncini
14,Mild,https://www.pepperscale.com/wp-content/uploads/2013/07/pimento-pepper.jpg,Pimento Pepper,100,500,300,0.06,-80 to -5,Annuum,Unknown,Culinary,Sweet,https://www.pepperscale.com/pimento-pepper
136,Mild,https://www.pepperscale.com/wp-content/uploads/2019/06/mariachi-pepper.jpg,Mariachi Pepper,500,600,550,0.10,-13 to -5,Annuum,USA,Culinary,Sweet,https://www.pepperscale.com/mariachi-pepper/
15,Mild,https://www.pepperscale.com/wp-content/uploads/2017/05/santa-fe-grande-pepper.jpg,Santa Fe Grande Pepper,500,700,600,0.11,-16 to -3,Annuum,USA,Culinary,"Sweet, Smoky",https://www.pepperscale.com/santa-fe-grande-pepper
